Pan,Plate,Pancake (0% finished),Raspberries in box
"[[241 -37]
 [221 307]]","[[448 241]
 [195 266]]","[[289  66]
 [ 99 107]]","[[504 136]
 [105  98]]"
0.8757583,0.8768693,0.99993896,0.86779964
